tabKey,equipmentId,equipmentName,basicInfo,parts,checks
tab1,ACH-2,氣冷變頻式冰水主機 #2,製冷能力=102 kW|輸入功率=34KW|壓縮機=1定1變頻|電源=480V / 3Ø / 60Hz|冷媒=R410a|COP=3,氣冷變頻式冰水主機:1|彈簧式避震器:4|性能會驗報告:1,銘牌規格與設計相符|防蝕處理： 散熱鋁片須進行防蝕處理（如藍色鰭片），底盤與機架應採用耐蝕材質或經防銹處理|變頻調節功能： 主機須具備變頻（Inverter）驅動，可根據空調負載需求自動調整壓縮機轉速，以達到節能效果|保護功能： 需具備高低壓力保護、防凍保護、過載保護、欠相保護及自動復歸功能|避震安裝： 主機須安裝於原廠提供之彈簧式避震器上，以減少運轉振動傳遞至建築結構|空間留設： 散熱進出風口須依原廠要求留設足夠空間，避免熱氣短循環影響效率|真空維持測試，停止泵運轉後維持 24 小時，真空度損失不得超過 50μm 水柱|散熱鰭片的完整性（無倒片或壓傷）|外部電源接線箱的防水等級
tab1,ACH-3,氣冷變頻式冰水主機 #3,製冷能力=68 kW|輸入功率=22.7KW|壓縮機=1定1變頻|電源=480V / 3Ø / 60Hz|冷媒=R410a|COP=3,氣冷變頻式冰水主機:1|彈簧式避震器:4|性能會驗報告:1,銘牌規格與設計相符|防蝕處理： 散熱鋁片須進行防蝕處理（如藍色鰭片），底盤與機架應採用耐蝕材質或經防銹處理|變頻調節功能： 主機須具備變頻（Inverter）驅動，可根據空調負載需求自動調整壓縮機轉速，以達到節能效果|保護功能： 需具備高低壓力保護、防凍保護、過載保護、欠相保護及自動復歸功能|避震安裝： 主機須安裝於原廠提供之彈簧式避震器上，以減少運轉振動傳遞至建築結構|空間留設： 散熱進出風口須依原廠要求留設足夠空間，避免熱氣短循環影響效率|真空維持測試，停止泵運轉後維持 24 小時，真空度損失不得超過 50μm 水柱|散熱鰭片的完整性（無倒片或壓傷）|外部電源接線箱的防水等級
tab2,CWP-01,冷卻水泵 #1,流量=7200 LPM|揚程=240 kPa|功率=45KW|效率=82%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CWP-02,冷卻水泵 #2,流量=7200 LPM|揚程=240 kPa|功率=45KW|效率=82%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CWP-03,冷卻水泵 #3,流量=7200 LPM|揚程=240 kPa|功率=45KW|效率=82%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CWP-04,冷卻水泵 #4,流量=5000 LPM|揚程=240 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CWP-05,冷卻水泵 #5,流量=5000 LPM|揚程=240 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CWP-06,冷卻水泵 #6,流量=5000 LPM|揚程=240 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CHP-01,冰水循環泵 #1,流量=6000 LPM|揚程=160 kPa|功率=22KW|效率=78%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CHP-02,冰水循環泵 #2,流量=6000 LPM|揚程=160 kPa|功率=22KW|效率=78%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CHP-03,冰水循環泵 #3,流量=6000 LPM|揚程=160 kPa|功率=22KW|效率=78%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CHP-04,冰水循環泵 #4,流量=4000 LPM|揚程=160 kPa|功率=15KW|效率=78%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CHP-05,冰水循環泵 #5,流量=4000 LPM|揚程=160 kPa|功率=15KW|效率=78%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,CHP-06,冰水循環泵 #6,流量=4000 LPM|揚程=160 kPa|功率=15KW|效率=78%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,BWP-01,滷水循環泵 #1,流量=7000 LPM|揚程=180 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,BWP-02,滷水循環泵 #2,流量=7000 LPM|揚程=180 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,BWP-03,滷水循環泵 #3,流量=7000 LPM|揚程=180 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,BWP-04,滷水循環泵 #4,流量=7000 LPM|揚程=200 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,BWP-05,滷水循環泵 #5,流量=7000 LPM|揚程=200 kPa|功率=30KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內
tab2,ZP-01,區域冰水泵 #1,流量=4550 LPM|揚程=180 kPa|功率=18.5KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1|性能會驗報告:1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內|需依據系統壓差或負荷需求，透過中央監控系統進行 10%~110% 的調速運轉控制
tab2,ZP-02,區域冰水泵 #2,流量=4550 LPM|揚程=180 kPa|功率=18.5KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內|需依據系統壓差或負荷需求，透過中央監控系統進行 10%~110% 的調速運轉控制
tab2,ZP-03,區域冰水泵 #3,流量=4550 LPM|揚程=180 kPa|功率=18.5KW|效率=80%,泵浦:1|彈簧避震基座(RC型):1,銘牌規格與設計相符|基礎座水平與防震軟管安裝，底座須裝設排水口，並以配管接至最接近的地板排水|合格之工廠技術人員檢查、定位及簽認文件|機械軸封運轉無漏水|運轉振動值量測 (ISO 10816)|馬達絕緣電阻測試，至少為 1.15，F 級或更好的絕緣|電動機應為全密閉風扇冷卻|管路連接： 鄰接泵浦之管線須獨立支撐，避免重量壓在泵浦身上|原製造廠產品出廠證明，若為進口貨，應提交海關進口證明書|水泵浦流量： 量測值與設計值之差異需在 +10% 以內|需依據系統壓差或負荷需求，透過中央監控系統進行 10%~110% 的調速運轉控制
